"","PAPAG.05i","PANTA.05i","CAIEA.05i","FUNDO.05i","RINCO.05i","DOURO.05i","PAULO.05i","CANAL.05i","Pont2.05i","JDIAS.05i","SAIDA.05i","FIGUA.05i","PAPAG.06i","PANTA.06i","CAIEA.06i","FUNDO.06i","RINCO.06i","CANAL.06i","BABAL.06i","LMEIO.06i","TALHA.06i","PPRAI.06i","FIGUA.06i","PAPAG.06v","PANTA.06v","CAIEA.06v","FUNDO.06v","RINCO.06v","ALEMO.06v","DOURO.06v","PAULO.06v","CANAL.06v","TALHA.06v","BARRA.06v","PPRAI.06v","VEANA.06v","PANTA.07i","FUNDO.07i","LMEIO.07i","CAIEA.07i","RINCO.07i","FIGUA.07i","PPRAI.07i","DUNAS.07i","PAPAG.07v","PANTA.07v","CAIEA.07v","FUNDO.07v","RINCO.07v","DOURO.07v","CANAL.07v","BABAL.07v","TALHA.07v","BARRA.07v","PPRAI.07v","FIGUA.07v","PPRAI.08i","BARRA.08i","PAPAG.09v","PANTA.09v","CAIEA.09v","FUNDO.09v","RINCO.09v","LMEIO.09v","CANAL.09v","FIGUA.09v","PPRAI.09v","PRABA.12i","PPRAI.12i","BARRA.1.12i","BABAL.12i","FUNDO.12i","RINCO.12i","TALHA.12i","FIGUA.12i","PRABA.12v","PPRAI.12v","BARRA1.12v","BABAL.12v","FUNDO.12v","RINCO.12v","CANAL.12v","TALHA.12v","BARRA2.12v","PRABA.13v","PPRAI.13v","FUNDO.13v","BABAL.13v","FIGUA.13v","RINCO.13v","TALHA.13v","PRABA.14i","PPRAI.14i","BARRA.14i","BABAL.14i","FUNDO.14i","RINCO.14i","FIGUA.14i","TALHA.14i","BARRA.15v","PRABA.15v","PPRAI.15v","FUNDO.15v","BABAL.15v","RINCO.15v","TALHA.15v"
"PAPAG.05i",0,0.448626652408053,1.14355813358916,1.15032474976424,0.996948116462341,1.05559212331307,1.49542217469351,1.30849440285682,1.12156663102013,1.28179043545158,1.24618514557793,1.29603255140104,0.872329601904548,1.08002712616754,1.25930288395243,1.10531204216477,1.28179043545158,0.996948116462341,1.1555534986268,0.972024413550783,1.23152414386524,1.49542217469351,1.08002712616754,1.21503051693848,0.920259799811391,1.08002712616754,1.13936927595696,1.02318359321135,1.37080366013572,1.1805964537054,1.17497456583062,1.21503051693848,1.41671574444648,1.49542217469351,1.49542217469351,1.49542217469351,1.19633773975481,0.8411749732651,1.08757976341346,0.975275331321855,1.19633773975481,1.34587995722416,1.49542217469351,1.14355813358916,1.37080366013572,1.25930288395243,1.25930288395243,1.12156663102013,1.41234316498832,1.16310613587273,1.29603255140104,1.40745616441742,1.40745616441742,1.43040381927205,1.49542217469351,1.41234316498832,1.43040381927205,1.41234316498832,0.872329601904548,1.08002712616754,1.32926415528312,1.10531204216477,1.28179043545158,0.972024413550783,0.996948116462341,1.19633773975481,1.49542217469351,1.49542217469351,1.49542217469351,1.42065106595884,1.29150096905349,1.05925737374124,1.24618514557793,1.19633773975481,1.40195828877517,1.49542217469351,1.42744843948017,1.32926415528312,1.24618514557793,1.1805964537054,1.03529227478782,1.30849440285682,1.3653854638506,1.49542217469351,1.42065106595884,1.49542217469351,1.23152414386524,1.24618514557793,1.38860630507255,1.02318359321135,1.37578840071803,1.49542217469351,1.49542217469351,1.42065106595884,1.31949015414133,1.12156663102013,1.02318359321135,1.31949015414133,1.14355813358916,1.42744843948017,1.49542217469351,1.4242115949462,0.913869106757146,1.19633773975481,0.996948116462341,1.30246447473306
"PANTA.05i",0.448626652408053,0,1.23152414386524,0.95163229298678,1.08002712616754,1.14355813358916,1.38860630507255,1.29603255140104,1.08757976341346,1.12156663102013,1.22352723384015,1.15032474976424,0.996948116462341,1.05559212331307,1.14355813358916,0.996948116462341,1.27110884848949,1.08002712616754,1.13936927595696,1.04679552228546,1.09664292810857,1.42065106595884,0.934638859183444,1.19633773975481,1.17497456583062,1.16310613587273,1.21057985570427,1.10189002345838,1.19633773975481,1.25930288395243,1.28179043545158,1.30849440285682,1.41234316498832,1.49542217469351,1.49542217469351,1.39572736304728,1.1805964537054,0.797558493169873,1.06815869620965,1.04029368674331,1.10531204216477,1.24618514557793,1.49542217469351,1.12156663102013,1.35947470426683,1.24618514557793,1.24618514557793,1.10189002345838,1.40745616441742,1.14355813358916,1.28179043545158,1.40195828877517,1.40195828877517,1.42744843948017,1.49542217469351,1.40745616441742,1.42744843948017,1.40745616441742,0.996948116462341,1.05559212331307,1.21503051693848,0.996948116462341,1.27110884848949,1.04679552228546,1.08002712616754,1.03529227478782,1.49542217469351,1.49542217469351,1.49542217469351,1.41671574444648,1.28179043545158,1.04029368674331,1.12156663102013,1.18387588829903,1.28179043545158,1.49542217469351,1.4242115949462,1.41234316498832,1.32926415528312,1.25930288395243,1.09280851227603,1.40195828877517,1.35947470426683,1.49542217469351,1.41671574444648,1.49542217469351,1.09664292810857,1.23534875300768,1.38038969971709,0.996948116462341,1.30036710842914,1.49542217469351,1.49542217469351,1.41671574444648,1.30849440285682,1.21503051693848,0.996948116462341,1.30849440285682,0.996948116462341,1.4242115949462,1.49542217469351,1.42065106595884,0.996948116462341,1.29603255140104,1.06815869620965,1.29603255140104
"CAIEA.05i",1.14355813358916,1.23152414386524,0,0.805227324834968,0.865770732717296,0.654247201428411,0.961342826588686,1.14355813358916,0.920259799811391,1.09664292810857,1.03529227478782,1.12156663102013,0.996948116462341,1.04679552228546,0.913869106757146,0.996948116462341,1.06815869620965,0.865770732717296,1.12156663102013,0.854526956967721,1.08002712616754,1.3653854638506,0.944477162964323,1.05559212331307,1.02810274510179,0.944477162964323,0.822482196081431,0.787064302470269,1.15032474976424,0.944477162964323,0.854526956967721,0.934638859183444,1.42744843948017,1.37080366013572,1.49542217469351,1.23152414386524,0.865770732717296,1.04679552228546,0.975275331321855,0.957070191803847,1.01688707879159,1.43311291741462,1.49542217469351,0.996948116462341,1.39572736304728,1.12156663102013,1.02318359321135,1.08757976341346,0.797558493169873,1.12156663102013,1.12156663102013,1.02810274510179,1.24618514557793,1.30849440285682,1.43311291741462,1.25930288395243,1.37578840071803,1.25930288395243,0.996948116462341,1.04679552228546,1.08002712616754,0.996948116462341,1.06815869620965,0.854526956967721,0.865770732717296,0.897253304816107,1.41671574444648,1.49542217469351,1.42744843948017,1.28179043545158,0.996948116462341,0.957070191803847,0.879660102760889,1.01688707879159,1.23152414386524,1.44003616822338,1.37080366013572,1.1805964537054,0.996948116462341,0.703728082208711,0.941562109992211,1.02810274510179,1.24618514557793,1.49542217469351,1.28179043545158,1.49542217469351,1.08002712616754,1.05925737374124,1.49542217469351,0.787064302470269,0.95163229298678,1.4242115949462,1.4242115949462,1.35947470426683,0.797558493169873,0.967626113036978,0.787064302470269,1.05559212331307,1.19633773975481,1.37080366013572,1.40745616441742,1.3653854638506,0.787064302470269,0.897253304816107,0.883658557773439,1.03132563771966
"FUNDO.05i",1.15032474976424,0.95163229298678,0.805227324834968,0,1.05559212331307,1.12156663102013,1.24618514557793,1.28179043545158,1.04679552228546,1.38038969971709,1.35947470426683,1.12156663102013,0.95163229298678,1.14355813358916,0.996948116462341,1.1555534986268,1.16310613587273,1.05559212331307,1.21057985570427,1.02318359321135,1.19633773975481,1.41671574444648,1.02810274510179,1.29603255140104,1.28179043545158,1.24618514557793,1.10189002345838,1.08002712616754,1.16310613587273,1.14355813358916,1.26535722474066,1.29603255140104,1.40745616441742,1.42065106595884,1.49542217469351,1.26535722474066,1.05559212331307,1.02810274510179,1.04679552228546,1.25615462674255,0.996948116462341,1.32926415528312,1.49542217469351,1.09664292810857,1.49542217469351,1.23152414386524,1.12156663102013,1.1805964537054,1.17497456583062,1.23152414386524,1.26535722474066,1.28179043545158,1.28179043545158,1.34587995722416,1.49542217469351,1.29603255140104,1.4242115949462,1.29603255140104,0.95163229298678,1.14355813358916,1.19633773975481,1.1555534986268,1.16310613587273,1.02318359321135,1.05559212331307,0.815684822560097,1.49542217469351,1.49542217469351,1.49542217469351,1.21503051693848,1.1805964537054,1.10531204216477,1.09664292810857,1.17033039758623,1.26535722474066,1.49542217469351,1.42065106595884,1.30849440285682,1.31949015414133,0.897253304816107,1.07670396577933,1.28179043545158,1.35300101519889,1.49542217469351,1.31949015414133,1.49542217469351,1.19633773975481,1.22352723384015,1.49542217469351,0.967626113036978,1.21057985570427,1.49542217469351,1.49542217469351,1.41234316498832,1.03529227478782,1.19633773975481,0.967626113036978,1.17497456583062,1.09664292810857,1.42065106595884,1.49542217469351,1.41671574444648,0.967626113036978,1.39572736304728,1.13936927595696,1.2283825006411
"RINCO.05i",0.996948116462341,1.08002712616754,0.865770732717296,1.05559212331307,0,0.664632077641561,1.05559212331307,0.879660102760889,0.897253304816107,1.05559212331307,1.12156663102013,0.967626113036978,0.967626113036978,0.925737536715031,1.08757976341346,0.977776037299604,1.04029368674331,0.854526956967721,0.934638859183445,0.747711087346756,1.04679552228546,1.08757976341346,0.822482196081431,0.913869106757146,0.879660102760889,0.708357872223242,0.712105797473101,0.550945011729188,1.09664292810857,0.925737536715031,0.697863681523639,0.654247201428411,1.30036710842914,1.32287346222888,1.3653854638506,0.967626113036978,0.629651441976215,0.708357872223242,0.679737352133414,0.685401830067859,0.747711087346756,1.08757976341346,1.3653854638506,0.865770732717296,1.31949015414133,0.787064302470269,0.787064302470269,0.883658557773439,1.02318359321135,0.787064302470269,0.967626113036978,0.996948116462341,1.19633773975481,1.26535722474066,1.38038969971709,1.02318359321135,1.12156663102013,0.913869106757146,0.967626113036978,0.925737536715031,1.13936927595696,0.977776037299604,1.04029368674331,0.747711087346756,0.854526956967721,0.879660102760889,1.42744843948017,1.31597151373029,1.37080366013572,1.30849440285682,0.67293997861208,0.777619530840626,0.747711087346756,0.837436417828366,1.08002712616754,1.33519837026206,1.25615462674255,1.13936927595696,0.615762071932622,0.822482196081431,0.598168869877404,0.879660102760889,1.05925737374124,1.34587995722416,0.972024413550783,1.33800931419946,0.944477162964323,0.679737352133414,1.24618514557793,0.783316377220411,0.934638859183445,1.21057985570427,1.21057985570427,1.1555534986268,0.913869106757146,0.944477162964323,0.550945011729188,0.913869106757146,0.747711087346756,1.10531204216477,1.42065106595884,1.31597151373029,0.67293997861208,0.747711087346756,0.56968463797848,1.01302792479238
"DOURO.05i",1.05559212331307,1.14355813358916,0.654247201428411,1.12156663102013,0.664632077641561,0,0.996948116462341,0.934638859183444,0.961342826588686,0.996948116462341,1.06815869620965,1.02810274510179,1.02810274510179,0.972024413550783,0.944477162964323,1.01688707879159,1.08757976341346,0.897253304816107,1.05925737374124,0.783316377220411,0.996948116462341,1.22352723384015,0.747711087346756,1.08002712616754,0.934638859183444,0.865770732717296,0.854526956967721,0.822482196081431,1.17497456583062,1.06815869620965,0.897253304816107,0.967626113036978,1.35947470426683,1.30849440285682,1.42744843948017,1.14355813358916,0.664632077641561,0.865770732717296,0.910256975900398,0.611763616920073,1.03529227478782,1.30036710842914,1.42744843948017,0.7916940924848,1.40195828877517,1.04679552228546,1.04679552228546,0.925737536715031,0.967626113036978,0.944477162964323,1.14355813358916,1.05559212331307,1.16310613587273,1.31597151373029,1.43560528770577,1.1805964537054,1.24618514557793,1.08002712616754,1.02810274510179,0.972024413550783,0.996948116462341,1.01688707879159,1.08757976341346,0.783316377220411,0.897253304816107,0.934638859183444,1.42065106595884,1.43560528770577,1.35947470426683,1.29150096905349,0.925737536715031,0.810020344625652,0.913869106757146,1.03529227478782,1.02810274510179,1.38465016175325,1.30849440285682,1.19633773975481,0.913869106757146,0.972024413550783,0.886176103522081,1.05559212331307,1.18387588829903,1.41671574444648,1.12156663102013,1.41234316498832,1.10189002345838,0.910256975900398,1.21503051693848,0.822482196081431,0.883658557773439,1.27110884848949,1.27110884848949,1.29150096905349,0.967626113036978,0.879660102760889,0.581553067936366,0.8411749732651,0.913869106757146,1.23534875300768,1.41234316498832,1.30036710842914,0.925737536715031,0.934638859183444,0.815684822560097,1.04679552228546
"PAULO.05i",1.49542217469351,1.38860630507255,0.961342826588686,1.24618514557793,1.05559212331307,0.996948116462341,0,0.996948116462341,1.04679552228546,0.897253304816107,0.996948116462341,0.95163229298678,1.26535722474066,1.14355813358916,1.23152414386524,1.06815869620965,1.16310613587273,1.16310613587273,1.12156663102013,1.21057985570427,1.19633773975481,1.23152414386524,1.02810274510179,0.872329601904548,1.28179043545158,1.02810274510179,0.996948116462341,0.967626113036978,0.934638859183445,1.14355813358916,0.95163229298678,0.872329601904548,1.40745616441742,1.42065106595884,1.49542217469351,0.747711087346756,0.934638859183444,1.24618514557793,1.04679552228546,1.01960602820012,1.08757976341346,1.23152414386524,1.49542217469351,0.961342826588686,1.16310613587273,0.996948116462341,0.854526956967721,1.08002712616754,0.872329601904548,1.12156663102013,0.95163229298678,0.815684822560097,1.28179043545158,1.4242115949462,1.32926415528312,1.29603255140104,1.34587995722416,1.17497456583062,1.26535722474066,1.14355813358916,1.19633773975481,1.06815869620965,1.16310613587273,1.21057985570427,1.16310613587273,0.996948116462341,1.38860630507255,1.41671574444648,1.40745616441742,1.31949015414133,0.8411749732651,1.10531204216477,0.623092572788963,1.17033039758623,0.95163229298678,1.42744843948017,1.42065106595884,1.30849440285682,0.805227324834968,0.897253304816107,1.15032474976424,0.815684822560097,1.27110884848949,1.38038969971709,1.21503051693848,1.49542217469351,1.06815869620965,0.944477162964323,1.22352723384015,0.967626113036978,0.913869106757146,1.40195828877517,1.29603255140104,1.31949015414133,0.872329601904548,1.06815869620965,0.967626113036978,1.03529227478782,1.09664292810857,1.33800931419946,1.37080366013572,1.41671574444648,1.08002712616754,0.815684822560097,0.944477162964323,1.09280851227603
"CANAL.05i",1.30849440285682,1.29603255140104,1.14355813358916,1.28179043545158,0.879660102760889,0.934638859183444,0.996948116462341,0,1.12156663102013,1.15032474976424,1.08757976341346,1.29603255140104,1.29603255140104,1.08002712616754,1.25930288395243,1.18387588829903,1.28179043545158,1.19633773975481,0.972024413550783,0.972024413550783,0.996948116462341,1.16310613587273,1.08002712616754,1.09664292810857,1.19633773975481,0.967626113036978,0.944477162964323,1.02318359321135,1.22352723384015,0.967626113036978,1.03529227478782,0.961342826588686,1.41671574444648,1.35300101519889,1.49542217469351,1.03529227478782,0.879660102760889,1.1805964537054,0.996948116462341,0.975275331321855,1.04029368674331,1.16310613587273,1.49542217469351,1.02810274510179,1.37080366013572,1.16310613587273,0.934638859183444,1.12156663102013,1.09664292810857,1.16310613587273,1.03529227478782,1.19633773975481,1.40745616441742,1.43040381927205,1.34587995722416,1.31949015414133,1.28179043545158,1.21503051693848,1.29603255140104,1.08002712616754,1.23152414386524,1.18387588829903,1.28179043545158,0.972024413550783,1.19633773975481,1.19633773975481,1.40195828877517,1.4242115949462,1.41671574444648,1.42065106595884,0.913869106757146,1.13652085276707,1.14355813358916,1.04029368674331,1.03529227478782,1.43311291741462,1.42744843948017,1.23152414386524,0.897253304816107,1.08002712616754,1.03529227478782,1.06815869620965,1.21057985570427,1.39572736304728,1.24618514557793,1.38860630507255,1.12156663102013,0.897253304816107,1.26535722474066,1.02318359321135,1.06815869620965,1.31949015414133,1.21503051693848,1.24618514557793,0.961342826588686,1.12156663102013,0.913869106757146,1.09664292810857,1.02810274510179,1.27110884848949,1.38860630507255,1.4242115949462,1.12156663102013,0.920259799811391,0.996948116462341,1.18602448337761
"Pont2.05i",1.12156663102013,1.08757976341346,0.920259799811391,1.04679552228546,0.897253304816107,0.961342826588686,1.04679552228546,1.12156663102013,0,1.04679552228546,0.934638859183445,1.24618514557793,1.08757976341346,1.12156663102013,1.09664292810857,1.13936927595696,1.02810274510179,1.14355813358916,1.19633773975481,1.10189002345838,1.29603255140104,1.41234316498832,1.12156663102013,0.996948116462341,0.95163229298678,0.996948116462341,0.967626113036978,0.934638859183444,0.49847405823117,1.12156663102013,0.664632077641561,0.815684822560097,1.49542217469351,1.49542217469351,1.49542217469351,1.24618514557793,1.14355813358916,1.12156663102013,1.12156663102013,1.08757976341346,1.1555534986268,1.41234316498832,1.49542217469351,0.920259799811391,1.12156663102013,1.09664292810857,1.09664292810857,1.16310613587273,0.996948116462341,1.21503051693848,1.08757976341346,1.12156663102013,1.38860630507255,1.49542217469351,1.49542217469351,1.15032474976424,1.49542217469351,1.39572736304728,1.08757976341346,1.12156663102013,1.17497456583062,1.13936927595696,1.02810274510179,1.10189002345838,1.14355813358916,1.12156663102013,1.49542217469351,1.49542217469351,1.49542217469351,1.40745616441742,1.05559212331307,1.17033039758623,0.920259799811391,1.23534875300768,1.24618514557793,1.49542217469351,1.49542217469351,1.40195828877517,0.920259799811391,1.23152414386524,1.13652085276707,1.12156663102013,1.4242115949462,1.49542217469351,1.40745616441742,1.49542217469351,1.03529227478782,1.12156663102013,1.49542217469351,0.934638859183444,1.19633773975481,1.49542217469351,1.49542217469351,1.49542217469351,0.996948116462341,1.03529227478782,1.05559212331307,1.28179043545158,1.19633773975481,1.49542217469351,1.35947470426683,1.49542217469351,0.934638859183444,0.95163229298678,1.02318359321135,1.28179043545158
"JDIAS.05i",1.28179043545158,1.12156663102013,1.09664292810857,1.38038969971709,1.05559212331307,0.996948116462341,0.897253304816107,1.15032474976424,1.04679552228546,0,0.747711087346756,1.26535722474066,1.26535722474066,1.02810274510179,1.12156663102013,0.972024413550783,1.25930288395243,1.16310613587273,1.21057985570427,1.21057985570427,1.06815869620965,1.32926415528312,1.14355813358916,0.872329601904548,1.15032474976424,1.02810274510179,0.996948116462341,0.967626113036978,0.934638859183445,1.24618514557793,0.747711087346756,0.872329601904548,1.49542217469351,1.42065106595884,1.49542217469351,1.12156663102013,1.05559212331307,1.24618514557793,1.22352723384015,1.01960602820012,1.24618514557793,1.41671574444648,1.49542217469351,1.21503051693848,1.16310613587273,1.12156663102013,0.996948116462341,1.1805964537054,0.872329601904548,0.996948116462341,1.12156663102013,0.996948116462341,1.39572736304728,1.4242115949462,1.41671574444648,1.17497456583062,1.4242115949462,1.40195828877517,1.26535722474066,1.02810274510179,1.06815869620965,0.972024413550783,1.25930288395243,1.21057985570427,1.16310613587273,1.28179043545158,1.38860630507255,1.49542217469351,1.40745616441742,1.49542217469351,1.08002712616754,1.10531204216477,0.805227324834968,1.17033039758623,1.12156663102013,1.42744843948017,1.42065106595884,1.40745616441742,0.961342826588686,1.14355813358916,1.21849214234286,1.15032474976424,1.27110884848949,1.49542217469351,1.41234316498832,1.49542217469351,0.747711087346756,0.944477162964323,1.37080366013572,1.08002712616754,1.12156663102013,1.40195828877517,1.40195828877517,1.41234316498832,1.03529227478782,1.19633773975481,1.08002712616754,1.17497456583062,1.21503051693848,1.42065106595884,1.37080366013572,1.41671574444648,1.08002712616754,0.598168869877405,1.04679552228546,1.16310613587273
