sp,Lagoa do Papagaio,Granja do Pântano,Caieira,Capão do Fundo,Lagoa do Rincão,Banhado da Alemoa,Lagoa do Sangradouro,Paulo Santana,Canal da Lagoa,PNLP - Banhado do balneário,PNLP - Trilha do Talhamar,PNLP - Barra da Lagoa,PNLP - praia,Parna - Lagoa da Veiana,Parna - Lagoa Pai João
Laterallus leucopyrrhus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rallus longirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aramides mangle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aramides cajanea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aramides ypecaha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aramides saracura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaurolimnas concolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porzana spiloptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porzana albicollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porzana flaviventer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neocrex erythrops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardirallus maculatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardirallus nigricans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardirallus sanguinolentus,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0
Porphyrio martinicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyrio flavirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallinula chloropus,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
Gallinula melanops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulica leucoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulica armillata,0,0,12,76,0,0,0,0,0,0,0,0,0,0,0
Fulica rufifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HELIORNITHIDAE,,,,,,,,,,,,,,,
Heliornis fulica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EURYPYGIDAE,,,,,,,,,,,,,,0,0
Eurypyga helias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JACANIDAE,,,,,,,,,,,,,,0,0
Jacana jacana,2,5,17,10,8,4,0,4,5,0,0,0,0,0,2
ROSTRATULIDAE,,,,,,,,,,,,,,0,0
