sp,RINCO,BARRA,FIGUA,TALHA,BABAL,PRABA,FUNDO,PPRAI
Pluvialis dominica,0,0,0,6,0,0,0,0
Pluvialis squatarola,0,0,3,0,0,32,0,6
Charadrius semipalmatus,0,0,0,0,0,6,0,7
Charadrius wilsonia,0,0,0,0,0,0,0,0
Charadrius collaris,0,0,0,0,0,2,0,160
Charadrius falklandicus,0,0,0,0,0,0,0,0
Charadrius modestus,0,0,0,0,0,0,0,0
Calidris ruficollis,0,0,0,0,0,0,0,0
,,,,,,,,
SCOLOPACIDAE,,,,,,,,
Gallinago paraguaiae,0,0,0,0,0,0,0,0
Gallinago undulata,0,0,0,0,0,0,0,0
Limnodromus griseus,0,0,0,0,0,0,0,0
Limosa haemastica,0,0,0,0,0,0,0,0
Numenius borealis,0,0,0,0,0,0,0,0
Numenius phaeopus,0,0,0,0,0,0,0,0
Bartramia longicauda,0,0,0,0,0,0,0,0
Tringa melanoleuca,0,0,4,4,0,2,0,0
Tringa flavipes,0,0,0,2,0,0,0,0
Tringa solitaria,0,0,0,0,0,0,0,0
Catoptrophorus semipalmatus,0,0,0,0,0,0,0,0
Arenaria interpres,0,2,0,0,0,0,0,0
Calidris canutus,0,130,176,0,0,0,0,2
Calidris alba,0,0,34,0,0,0,0,907
Calidris pusilla,0,0,0,0,0,0,0,0
Calidris minutilla,0,0,0,0,0,0,0,0
Calidris fuscicollis,0,0,39,0,0,222,0,1431
Calidris melanotos,0,0,0,0,0,0,0,0
Calidris bairdii,0,0,0,0,0,0,0,0
Micropalama himantopus,0,0,0,0,0,0,0,0
Tryngites subruficollis,26,0,0,22,0,0,0,0
Philomachus pugnax,0,0,0,0,0,0,0,0
Steganopus tricolor,0,0,0,0,0,0,0,0
,,,,,,,,
LARIDAE,,,,,,,,
Larus atlanticus,0,0,0,0,0,0,0,0
Larus dominicanus,0,54,16,2,0,159,0,288
Larus cirrocephalus,0,0,0,0,0,0,0,1
Croicocephalus maculipennis,1,1,9,3,0,10,0,9
Larus atricilla,0,0,0,0,0,0,0,0
Thalasseus sandvicensis,1,2,0,1,0,0,0,7
Thalasseus maximus,0,2,0,0,0,25,0,16
Sterna dougallii,0,0,0,0,0,0,0,0
Sterna hirundinacea,0,0,0,0,0,0,0,0
Sterna hirundo,0,432,0,0,0,987,0,783
Sterna paradisaea,0,0,0,0,0,0,0,0
Sterna vittata,0,0,0,0,0,0,0,0
Sterna trudeaui,0,6,0,13,0,9,0,36
Sterna antillarum,0,0,0,0,0,0,0,0
Sternulla superciliaris,0,2,0,0,0,0,0,0
Sterna fuscata,0,0,0,0,0,0,0,0
Chlidonias niger,0,0,0,0,0,0,0,0
Phaetusa simplex,0,8,0,0,0,0,0,2
Anous stolidus,0,0,0,0,0,0,0,0
Anous minutus,0,0,0,0,0,0,0,0
,,,,,,,,
RYNCHOPIDAE,,,,,,,,
Rynchops niger,0,50,99,0,0,209,0,69
