Observations:,,,,,,,,,
A,,,,,,,,,
,,,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total media length
,,,,,,,,,
No focal subject,Defecation,NA,1,-,-,-,NA,NA,-
No focal subject,Out of view,NA,3,3.659,1.22,0.916,13.813,18.702,5.3
No focal subject,Peck,NA,3,-,-,-,22.55,31.325,-
No focal subject,Random probe,NA,84,22.079,0.263,0.323,0.517,0.664,32.2
No focal subject,Step,NA,290,-,-,-,0.233,0.224,-
No focal subject,non-random Probe,NA,0,0,0,NA,-,-,-
