Observations:,,,,,,,,,
a,,,,,,,,,
,,,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total media length
,,,,,,,,,
No focal subject,Defecation,NA,0,-,-,-,-,-,-
No focal subject,Out of view,NA,4,38.552,9.638,13.561,16.107,9.186,44.2
No focal subject,Peck,NA,1,-,-,-,NA,NA,-
No focal subject,Random probe,NA,29,26.998,0.931,0.574,0.752,1.287,31.0
No focal subject,Step,NA,227,-,-,-,0.214,0.211,-
No focal subject,non-random Probe,NA,0,0,0,NA,-,-,-
