sp,TOTAL,Lagoa do Papagaio,Granja do Pântano,Caieira,Capão do Fundo,Lagoa do Rincão,Banhado da Alemoa,Lagoa do Sangradouro,Canal da Lagoa,PNLP - Banhado do balneário,PNLP - Trilha do Talhamar,PNLP - Barra da Lagoa,PNLP - praia,PNLP - Figueiras
Aramides cajanea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aramides ypecaha,4,0,0,0,0,0,0,3,1,0,0,0,0,0
Aramides saracura,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaurolimnas concolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porzana spiloptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porzana albicollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porzana flaviventer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neocrex erythrops,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardirallus maculatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardirallus nigricans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardirallus sanguinolentus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyrio martinicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyriops melanops,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyrio flavirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallinula chloropus,6,0,0,0,0,0,6,0,0,0,0,0,0,0
Gallinula melanops,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulica leucoptera,35,0,0,5,0,0,0,30,0,0,0,0,0,0
Fulica armillata,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulica rufifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HELIORNITHIDAE,, , , , , , , , , , , , , 
Heliornis fulica,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EURYPYGIDAE,, , , , , , , , , , , , , 
Eurypyga helias,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JACANIDAE,, , , , , , , , , , , , , 
Jacana jacana,23,2,2,1,3,0,7,1,3,0,0,0,0,4
ROSTRATULIDAE,, , , , , , , , , , , , , 
Rostratula semicollaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAEMATOPODIDAE,, , , , , , , , , , , , , 
Haematopus palliatus,408,0,0,0,0,0,0,0,0,0,0,309,99,0
RECURVIROSTRIDAE,, , , , , , , , , , , , , 
Himantopus mexicanus,66,0,0,0,0,0,0,26,5,0,0,0,0,35
Himantopus melanurus,21,0,3,18,0,0,0,0,0,0,0,0,0,0
BURHINIDAE,, , , , , , , , , , , , , 
Burhinus bistriatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHARADRIIDAE,, , , , , , , , , , , , , 
Vanellus cayanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanellus chilensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pluvialis dominica,95,0,0,0,0,0,0,0,0,0,24,4,67,0
Pluvialis squatarola,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charadrius semipalmatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charadrius wilsonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charadrius collaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charadrius falklandicus,14,0,0,0,0,0,0,0,0,0,0,14,0,0
Charadrius modestus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
