sp,PLNP – Barra,Praia do balneário,PNLP-Praia,Capão do Fundo,PNLP – Banhado do Balneário,Trilha da Figueira,Lagoa do Rincão,PNLP – Trilha do Talhamar
Limosa haemastica,0,0,0,0,0,0,0,0
Numenius borealis,0,0,0,0,0,0,0,0
Numenius phaeopus,0,0,0,0,0,0,0,0
Bartramia longicauda,0,0,0,0,0,0,0,0
Tringa melanoleuca,0,0,0,0,0,0,0,2
Tringa flavipes,0,0,0,0,0,0,0,0
Tringa solitaria,3,0,0,0,0,1,0,0
Catoptrophorus semipalmatus,0,0,0,0,0,0,0,0
Arenaria interpres,0,0,0,0,0,0,0,0
Calidris canutus,0,0,0,0,0,0,0,0
Calidris alba,221,0,1083,0,0,0,0,269
Calidris pusilla,0,0,0,0,0,0,0,0
Calidris minutilla,0,0,0,0,0,0,0,0
Calidris fuscicollis,2389,0,0,0,0,2,0,500
Calidris melanotos,0,0,0,0,0,0,0,0
Calidris bairdii,0,0,0,0,0,0,0,0
Micropalama himantopus,0,0,0,0,0,0,0,0
Tryngites subruficollis,0,0,0,0,0,0,0,0
Steganopus tricolor,0,0,0,0,0,0,0,0
,,,,,,,,
LARIDAE,,,,,,,,
Larus atlanticus,0,0,0,0,0,0,0,0
Larus dominicanus,959,195,269,0,0,0,0,33
Larus cirrocephalus,0,0,0,0,0,0,0,0
Larus maculipennis,713,0,3,0,0,0,0,0
Larus atricilla,0,0,0,0,0,0,0,0
Sterna sandvicensis,0,3,5,0,0,0,0,0
Sterna maxima,0,24,18,0,0,0,0,0
Sterna dougallii,0,0,0,0,0,0,0,0
Sterna hirundinacea,0,0,130,0,0,0,0,0
Sterna hirundo,0,0,3,0,0,0,0,0
Sterna paradisaea,0,0,0,0,0,0,0,0
Sterna vittata,0,0,0,0,0,0,0,0
Sterna trudeaui,3,14,11,0,0,0,0,0
Sterna superciliaris,6,0,0,0,0,0,0,36
Sterna fuscata,0,0,0,0,0,0,0,0
Gelochelidon nilotica,0,0,0,0,0,0,0,0
Phaetusa simplex,0,0,0,0,0,0,0,0
,,,,,,,,
RYNCHOPIDAE,,,,,,,,
Rynchops niger,6,0,0,0,0,0,0,700
,,,,,,,,
OUTRAS,,,,,,,,
Rostrhamus sociabilis,,,,,,,,
Ceryle torquata,0,0,0,0,0,0,0,0
Circus buffoni,0,0,0,1,0,0,0,0
