Date,Flock,Video,Timestamp,local.time,notes
07/03/16,San1,7349,20:23:00,15:03:00,
07/03/16,San1,7351,20:25:00,15:05:00,
07/03/16,San1,7352,20:26:00,15:06:00,
07/03/16,San1,7353,20:28:00,15:08:00,
07/03/16,San1,7355,20:30:00,15:10:00,
07/03/16,San1,7356,20:31:00,15:11:00,
07/03/16,San1,7362,20:41:00,15:21:00,
07/03/16,San1,7364,20:43:00,15:23:00,
07/03/16,San1,7365,20:45:00,15:25:00,
08/03/16,San1,7400,15:05:00,09:45:00,
08/03/16,San1,7407,15:18:00,09:58:00,
08/03/16,San1,7409,15:20:00,10:00:00,
08/03/16,San1,7411,15:26:00,10:06:00,
08/03/16,San1,7412,15:37:00,10:17:00,
08/03/16,San1,7413,15:39:00,10:20:00,
08/03/16,San1,7414,15:40:00,10:29:00,
08/03/16,San1,7417,15:49:00,10:31:00,
08/03/16,San1,7418,15:51:00,10:32:00,
08/03/16,San1,7419,15:52:00,10:35:00,
08/03/16,San1,7420,15:55:00,10:36:00,
08/03/16,San1,7421,15:56:00,10:45:00,
08/03/16,San1,7423,16:05:00,10:50:00,
08/03/16,San1,7424,16:10:00,10:51:00,
08/03/16,San1,7425,16:11:00,11:03:00,
08/03/16,San1,7426,16:23:00,11:04:00,
08/03/16,San1,7427,16:24:00,11:19:00,Colour-marked individual
08/03/16,San1,7433,16:39:00,11:19:00,
08/03/16,San1,7434,16:40:00,11:20:00,
08/03/16,San1,7435,16:44:00,11:24:00,
08/03/16,San2,7436,21:48:00,16:28:00,
08/03/16,San2,7437,21:49:00,16:29:00,
08/03/16,San2,7439,21:59:00,16:39:00,
08/03/16,San2,7440,22:01:00,16:41:00,
08/03/16,San2,7441,22:05:00,16:45:00,
08/03/16,San2,7442,22:06:00,16:46:00,
08/03/16,San2,7444,22:11:00,16:51:00,
08/03/16,San2,7446,22:12:00,16:52:00,
08/03/16,San2,7447,22:25:00,17:05:00,
08/03/16,San2,7450,22:28:00,17:08:00,
09/03/16,Fus1,7451,19:30:00,14:10:00,
09/03/16,Fus1,7452,19:34:00,14:14:00,
09/03/16,Fus1,7453,19:35:00,14:15:00,
09/03/16,Fus1,7454,19:36:00,14:16:00,
09/03/16,Fus1,7455,19:39:00,14:19:00,
09/03/16,Fus1,7456,19:40:00,14:20:00,
09/03/16,Fus1,7457,19:41:00,14:21:00,
09/03/16,Fus1,7458,19:43:00,14:23:00,
09/03/16,Fus1,7459,19:58:00,14:38:00,
09/03/16,Fus1,7460,19:59:00,14:39:00,
09/03/16,Fus1,7461,20:01:00,14:41:00,
09/03/16,Fus2,7462,20:10:00,14:50:00,
09/03/16,Fus2,7463,20:11:00,14:51:00,
09/03/16,Fus2,7464,20:13:00,14:53:00,
09/03/16,Fus2,7465,20:14:00,14:54:00,
09/03/16,Fus2,7466,20:17:00,14:57:00,
