sp,nome_pt,status,ref
Circus buffoni,Gavião-do-banhado (Planador),R,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Buteogallus urubitinga,Gavião-preto,R,
Heterospizias meridionalis,Gavião-caboclo (Asa-de-telha),R,(Nascimento 1995)
Rupornis magnirostris [Buteo magnirostris],Gavião-carijó (Rapina),R,
Buteo albicaudatus,Gavião-de-rabo-branco,R,
FALCONIDAE,,,
Caracara plancus [Polyborus plancus],Caracará,R/nd,(Nascimento 1995)
Milvago chimachima,Carrapateiro,R,(Nascimento 1995)
Milvago chimango,Chimango,R/nd,(Nascimento 1995)
Falco sparverius,Quiri-quiri,R,(Nascimento 1995)
Falco femoralis,Falcão-de-coleira,R,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Falco peregrinus,Falcão-peregrino,N,(Nascimento 1995)
ARAMIDAE,,,
Aramus guarauna,Carão,R/nd,(Nascimento 1995)
RALLIDAE,,,
Aramides ypecaha,Saracuraçu,R/nd,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Aramides cajanea,Três-potes,R/nd,(Nascimento 1995)
Porzana spiloptera,Sanã-cinza,D,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Pardirallus sanguinolentus,Saracura-do-banhado,R/nd,(Nascimento 1995)
Gallinula chloropus,"Galinhola, Frango-d’água",R/nd,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Gallinula melanops,Frango-d’água-carijó,R/nd,(Nascimento 1995)
Fulica armillata,Carqueja-de-bico-maculado,R/nd,(Nascimento 1995)
Fulica rufifrons,Carqueja-de-escudo-roxo,R/nd,(Nascimento 1995)
Fulica leucoptera,Carqueja-de-bico-amarelo,R/nd,(Nascimento 1995)
CHARADRIIDAE,,,
Vanellus chilensis,Quero-quero,R/nd,(Nascimento 1995)
Pluvialis dominica,Batuiruçu,N,(Nascimento 1995)
Pluvialis squatarola,Batuiruçu-de-axila-preta,N,(Nascimento 1995)
Charadrius semipalmatus,Batuíra-norte-americana,N,(Nascimento 1995)
Charadrius collaris,Batuíra-de-coleira,R/nd,(Nascimento 1995)
Charadrius falklandicus,Batuíra-de-coleira-dupla,R/nd,(Nascimento 1995)
Charadrius modestus,Batuíra-de-peito-avermelhado,S,(Nascimento 1995)
Oreopholus ruficollis,Batuíra-de-papo-ferrugíneo,S,(Nascimento 1995)
HAEMATOPODIDAE,,,
Haematopus palliatus,Piru-piru,R/nd,(Nascimento 1995)
RECURVIROSTRIDAE,,,
Himantopus mexicanus,Pernilongo,R/nd,(Nascimento 1995)
CHIONIDAE,,,
Chionis albus,Pomba-antártica,"Ps, V",(Nascimento 1995)
SCOLOPACIDAE,,,
Gallinago paraguaiae,Narceja,R,(Nascimento 1995)
Limnodromus griseus,Narceja-de-costas-brancas,"N, V",(Nascimento 1995)
Limosa haemastica,Maçarico-de-bico-virado,N,(Nascimento 1995)
Numenius phaeopus,Maçarico-de-bico-torto,N,(Nascimento 1995)
Tringa solitaria,Maçarico-solitário,N,(Nascimento 1995)
Tringa melanoleuca,Maçarico-grande-perna-amarela,N,(Nascimento 1995)
Tringa semipalmatus,Maçarico-de-asa-branca,"N, V",(Nascimento 1995)
Tringa flavipes,Maçarico-perna-amarela,N,(Nascimento 1995)
Arenaria interpres,Vira-pedra,N,(Nascimento 1995)
Calidris canutus,Maçarico-de-papo-vermelho,N,(Nascimento 1995)
Calidris alba,Maçarico-branco,N,(Nascimento 1995)
Calidris pusilla,Maçarico-miúdo,N,(Nascimento 1995)
Calidris minutilla,Maçariquinho,"N, V",(Nascimento 1995)
Calidris fuscicollis,Maçarico-de-sobre-branco,N,(Nascimento 1995)
Calidris melanotos,Maçarico-de-colete,N,(Nascimento 1995)
Micropalama himantopus,Maçarico-pernilongo,N,(Nascimento 1995)
Tryngites subruficollis,Maçarico-acanelado,N,(Nascimento 1995)
Philomachus pugnax,Combatente,V,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Phalaropus tricolor,Pisa-n’água,N,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
THINOCORIDAE,,,
Thinocorus rumicivorus,Agachadeira-mirim,V,(Nascimento 1995)
JACANIDAE,,,
Jacana jacana,Jaçanã,R,(Nascimento 1995)
ROSTRATULIDAE,,,
Nycticryphes semicollaris,Narceja-de-bico-torto,"M, #","PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
STERCORARIIDAE,,,
Stercorarius parasiticus,Gaivota-rapineira-comum,Pn,
LARIDAE,,,
Chroicocephalus maculipennis,Gaivota-maria-velha,R/nd,(Nascimento 1995)
Chroicocephalus cirrocephalus,Gaivota-de-cabeça-cinza,D,(Nascimento 1995)
Leucophaeus atricilla,Guincho-americano,V,
Larus atlanticus,Gaivota-de-rabo-preto,V,
Larus dominicanus,Gaivotão,R,
STERNIDAE,,,
Anous stolidus,Trinta-réis-escuro,V,
Sternula superciliaris,Trinta-réis-anão,R,(Nascimento 1995)
Phaetusa simplex,Trinta-réis-grande,R,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
